Count_of_sizes,Name_ of_colors,Product_code
2.0,KHAKI,FGC0GF0R6701Z
0.0,OLIVE GREEN,FGC051040011A
1.0,KHAKI,FGC090012521B
2.0,SNAYPE,FGC0AA025141A
4.0,DGREY,FGC015028011B
1.0,RUSSIA DBROWN,FGC0H9033031B
0.0,DRUST,FGC018012521A
2.0,WHITE,FGC0180U2972A
4.0,GREY,FGC031027611A
6.0,KHAKI,FGC0X60R6761Z
1.0,SGREEN,FGC0M1011201D
2.0,DUBAI KHAKI,FGC051038831A
0.0,CADET BLUE,FGC051032411A
1.0,DUBAI KHAKI,FGC0L5039631A
2.0,KHAKI,FGC013056101G
1.0,TAN,FGC051042662A
1.0,NAVY,FGC0X1019231A
3.0,RUST BROWN,FGC0AR025091D
3.0,CAMEL,FGC051042192A
2.0,CASHEW BROWN,FGC0H9034931A
0.0,CAMEL,FGC0L4019911A
0.0,OLIVE GREEN,FGC0M6030151A
2.0,YELLOW,FGC0G5012521A
0.0,SGREEN,FGC051027781A
1.0,CAMEL,FGC0GD042631A
1.0,ELECTRIC BLUE,FGC0V4018821A
1.0,BLACK,FGC0H7056081F
2.0,RUSSIA DBROWN,FGC051040261A
0.0,CAMEL,FGC0H9025811A
1.0,DSKY BLUE,FGC0B3025101C
3.0,NAVY,FGC051027571A
2.0,CAMEL,FGC061043782A
1.0,BLACK,FGC031044482A
0.0,CAMEL,FGC0H9025821A
1.0,NAVY/LGREY,FGC0BX029931A
3.0,CAMEL,FGC013026561B
2.0,BLACK,FGC0H9025671B
0.0,PARIS HAT GREY,FGC0H9029961A
1.0,TOBACCO,FGC0H9034821A
1.0,BROWN,FGC0T4018061A
1.0,CAMEL,FGC051043811A
1.0,NAVY,FGC051027601A
0.0,GREY,FGC015034721A
1.0,KHAKI,FGC0H9024721A
2.0,CAMEL,FGC0H9028711A
3.0,OLIVE/BLACK,FGC031039282A
2.0,RBLUE,FGC031028631A
0.0,DGREY,FGC0260U2702A
2.0,MBROWN,FGC0C3018951A
1.0,DBROWN,FGC015032381A
0.0,DGREY,FGC0H9015031B
2.0,BEIGE,FGC0T5018081A
2.0,CAMEL,FGC0W7030541A
2.0,SGREEN,FGC081012542A
